fecha,tipo,categoria,concepto,importe
2023-07-02,gasto,Otros,TERRAZA COCOA,14.00
2023-07-03,gasto,Transporte,GASOLINA (M.SANDRA),9.21
2023-07-03,gasto,Otros,PAN,0.60
2023-07-04,gasto,Otros,MOJITADA,5.00
2023-07-07,gasto,Alimentación,Bocata torre d ara,2.70
2023-07-07,gasto,Impuestos/Tasas,multa,30.00
2023-07-08,gasto,Ocio,cumple pol (barra),10.00
2023-07-09,gasto,Otros,TERRAZA COCOA,15.00
2023-07-10,gasto,Alimentación,Condis bocatas trabajo,13.39
2023-07-11,gasto,Transporte,Gasolina,10.00
2023-07-14,gasto,Transporte,Gasolina,10.00
2023-07-17,gasto,Transporte,Gasolina,20.00
2023-07-28,gasto,Otros,Ferreteria rosa (llaves),6.00
2023-07-28,gasto,Otros,Idilic,15.00
2023-07-29,gasto,Otros,Idilic,5.00
2023-07-29,gasto,Otros,Idilic,5.00
2023-07-31,gasto,Transporte,Gasolina bajar costa ( sandra),5.00
2023-08-03,gasto,Transporte,Gasolina,35.00
2023-08-03,gasto,Otros,Reilos,3.50
2023-08-06,gasto,Otros,Finde costa extras,8.25
2023-08-09,gasto,Ocio,Regal mama,17.50
2023-08-13,gasto,Alimentación,sopar sandra a se casa,6.70
2023-08-14,gasto,Alimentación,Dinar pizza kebab canov,9.00
2023-08-15,gasto,Otros,pan,0.60
2023-08-16,gasto,Transporte,Gasolina,45.00
2023-08-20,gasto,Ocio,Jetskimataro,72.00
2023-08-22,gasto,Otros,Torre d ara,3.30
2023-08-23,gasto,Transporte,Gasolina,15.00
2023-08-23,gasto,Alimentación,Cena sandra,7.98
2023-08-23,gasto,Alimentación,Compra casa,10.47
2023-08-23,gasto,Otros,Palomitas,1.50
2023-08-24,gasto,Alimentación,Comida  sandra,9.68
2023-08-25,gasto,Transporte,Gasolina,15.00
2023-08-31,gasto,Transporte,Gasolina,5.02
2023-09-01,gasto,Transporte,GASOLINA SAND,18.45
2023-09-01,gasto,Otros,PIZERRIA ERIC SANDRA,25.30
2023-09-03,gasto,Transporte,GASOLINA SAND,10.00
2023-09-04,gasto,Otros,jijo,5.55
2023-09-06,gasto,Transporte,gasolina,8.55
2023-09-11,gasto,Otros,pa,0.60
2023-09-14,gasto,Otros,Aliexpres sandra,2.08
2023-09-14,gasto,Otros,Sele sandra,27.27
2023-09-24,gasto,Transporte,gasolina sandra,6.00
2023-09-24,gasto,Alimentación,mas que sushi sandra,42.80
2023-09-28,gasto,Otros,xiong mao sandra,27.15
2023-09-29,gasto,Otros,cajero,30.00
2023-09-30,gasto,Transporte,gasolina sandra,20.00
2023-10-03,gasto,Transporte,Gasolina papa,5.00
2023-10-06,gasto,Otros,gasolia,10.00
2023-10-06,gasto,Otros,YUME,72.50
2023-10-08,gasto,Alimentación,Kebab sandra,11.40
2023-10-09,gasto,Alimentación,pizza sandra,6.38
2023-10-10,gasto,Alimentación,Comida sandra,5.45
2023-10-11,gasto,Otros,pa,0.50
2023-10-11,gasto,Ocio,entrada cocoa,17.00
2023-10-11,gasto,Otros,gel pre,3.50
2023-10-11,gasto,Otros,alchol,4.25
2023-10-12,gasto,Alimentación,desayuno moments,3.25
2023-10-12,gasto,Alimentación,Kebab sandra,5.70
2023-10-13,gasto,Transporte,gasolina sandra,10.00
2023-10-15,gasto,Transporte,Gasolina Sandra,10.00
2023-10-16,gasto,Alimentación,bocata patio,2.40
2023-10-19,gasto,Transporte,Gasolina sandra,3.00
2023-10-21,gasto,Alimentación,Cena sandra,5.10
2023-10-22,gasto,Alimentación,Sopar sandra,3.90
2023-10-25,gasto,Alimentación,Sopar sandra,5.70
2023-10-29,gasto,Alimentación,sopar sandra,12.80
2023-10-29,gasto,Otros,chupitos,4.00
2023-10-29,gasto,Otros,bravas rials,15.00
2023-10-30,gasto,Alimentación,sopar sandra,4.55
2023-10-31,gasto,Otros,efetivo,9.45
2023-10-31,gasto,Otros,Sopa sandra vrutal,31.00
2023-11-05,gasto,Alimentación,sopar sandra xino,20.20
2023-11-05,gasto,Transporte,gasolina papa,7.00
2023-11-08,gasto,Otros,Masquesuahi sandra,18.80
2023-11-09,gasto,Alimentación,Sopar sandra kikiangelo,11.50
2023-11-11,gasto,Ropa,zapatos sandra,40.00
2023-11-11,gasto,Otros,once,2.00
2023-11-11,gasto,Otros,blauer,61.40
2023-11-20,gasto,Otros,marketing,4.00
2023-11-21,gasto,Otros,Comoda sandra tortitas,2.45
2023-11-27,gasto,Alimentación,kebab sandra,5.80
2023-11-27,gasto,Otros,DATOS ARGENTINA,35.15
2023-11-28,gasto,Alimentación,cena sandra,57.58
2023-12-13,gasto,Ocio,REGALO SANDRA,20.00
2023-12-13,gasto,Alimentación,ALMUERZO SANDRA,3.40
2023-12-18,gasto,Otros,contabilidad actividad,20.00
2023-12-19,gasto,Ocio,Regalo uri serra,6.00
2023-12-20,gasto,Alimentación,sushi sandra,13.11
2023-12-22,gasto,Transporte,gasolina papa,15.00
2023-12-22,gasto,Transporte,Gasolina moto sh,5.00
2023-12-22,gasto,Transporte,Pila moto honda sh,1.50
2023-12-24,gasto,Transporte,Gasolina sh,6.00
2023-12-24,gasto,Otros,clara nautic aperitivo,2.20
2023-12-25,gasto,Otros,patito llalla,10.00
2023-12-26,gasto,Otros,casco heb negro,25.00
2023-12-31,gasto,Transporte,Parking  rambla,9.60
2024-01-03,gasto,Transporte,gestoria moto,67.69
2024-01-03,gasto,Transporte,Gestoria moto,67.69
2024-01-05,gasto,Alimentación,pizza eric,3.50
2024-01-07,gasto,Otros,gorro tomy,2.00
2024-01-07,gasto,Otros,ugg sandra,41.37
2024-01-10,gasto,Otros,reparación kb,90.00
2024-01-11,gasto,Otros,pendientes sandra,4.65
2024-01-18,gasto,Otros,reparación kb,15.00
2024-01-22,gasto,Transporte,Gasolina sh,4.00
2024-01-22,gasto,Otros,Carne,4.99
2024-01-22,gasto,Otros,Cotxe papa,7.00
2024-01-22,gasto,Otros,Bbq,4.75
2024-01-26,gasto,Otros,hello nails  sandra,14.60
2024-01-26,gasto,Alimentación,burger king vilar,6.15
2024-01-27,gasto,Otros,bbq nens,8.25
2024-01-28,gasto,Otros,pizzes sandra,7.80
2024-01-28,gasto,Otros,aliexpres,27.18
2024-01-30,gasto,Otros,pa paki,1.10
2024-02-01,gasto,Otros,cambio de nombre sh 2/3,67.69
2024-02-02,gasto,Ocio,alchol esquiada,6.60
2024-02-04,gasto,Alimentación,dinar mercadona,5.05
2024-02-05,gasto,Vivienda,agua,1.00
2024-02-10,gasto,Alimentación,almuerzo sandra,2.70
2024-02-11,gasto,Otros,coach la roca,53.10
